"Age" "qx" "lx"
0 0.0000812015939551703 100000
1 0.0000879571963000038 99991.8798406045
2 0.0000952741627501826 99983.0841209745
3 0.000103199024020146 99973.5567046995
4 0.000111782147480957 99963.2368022975
5 0.000121078049995941 99952.0585875494
6 0.000131145735651697 99939.9507825498
7 0.000142049060257814 99926.8362089846
8 0.000153857124610266 99912.6313029588
9 0.000166644698639285 99897.2455904978
10 0.000180492678691948 99880.5811206339
11 0.000195488580331909 99862.5318527647
12 0.00021172706917242 99842.9829947315
13 0.000229310532392693 99821.8102878142
14 0.000248349693719842 99798.879234575
15 0.000268964274786807 99774.044265203
16 0.000291283705897953 99747.1478377243
17 0.000315447889345052 99718.0194671345
18 0.000341608018512685 99686.4746782
19 0.000369927456088672 99652.3138763487
20 0.000400582674745735 99615.3211307399
21 0.00043376426367769 99575.2628632653
22 0.000469678004348071 99531.8864368975
23 0.000508546018730748 99484.9186364627
24 0.000550607993177845 99434.0640345896
25 0.000596122480825496 99379.0032352718
26 0.000645368285124726 99319.3909871893
27 0.000698645926642531 99254.8541586768
28 0.000756279194692495 99184.9895660126
29 0.000818616784596856 99109.3616465433
30 0.000886034020419334 99027.4999680836
31 0.000958934661802422 98938.8965660417
32 0.00103775279204861 98843.0030998615
33 0.00112295478275205 98739.2278206566
34 0.00121504132805519 98626.9323423814
35 0.00131454953890686 98505.4282095759
36 0.00142205508445659 98373.9732556852
37 0.00153817436384697 98231.7677472395
38 0.00166356668706229 98077.9503108548
39 0.0017989364380466 97911.5936421486
40 0.00194503518689209 97731.699998344
41 0.00210266371038433 97537.1964796547
42 0.00227267387141949 97326.9301086163
43 0.00245597029761977 97099.6627214743
44 0.00265351178768908 96854.0656917124
45 0.00286631236048539 96588.7145129435
46 0.00309544184625009 96302.0832768949
47 0.00334202590173303 95992.5390922699
48 0.00360724531090183 95658.3365020966
49 0.00389233441035532 95297.6119710064
50 0.00419857845334166 94908.3785299709
51 0.00452730969832146 94488.5206846367
52 0.00487990197731247 94035.7897148046
53 0.00525776346589832 93547.7995170733
54 0.00566232734102971 93022.0231704835
55 0.00609503997503705 92455.7904363805
56 0.00655734627531285 91846.2864388768
57 0.00705067173995802 91190.5518113456
58 0.00757640076178318 90485.4846373498
59 0.00813585067841963 89727.8445611714
60 0.00873024103759477 88914.2594933295
61 0.00936065752730526 88041.23538957
62 0.0100280100151074 87105.1696368395
63 0.0107329841545478 86102.3686353287
64 0.0114759860566765 85029.070219874
65 0.0122570795988448 83881.4716142063
66 0.0130759160613347 82655.7636543218
67 0.0139316559561491 81348.1720481884
68 0.0148228831543765 79955.0064525734
69 0.0157475117431324 78472.7181371358
70 0.0167026864652536 76897.9669628225
71 0.0176846781299052 75227.6983162972
72 0.0186887760442466 73459.2305033067
73 0.0197091803168053 71590.352898882
74 0.0207388978286157 69619.4348672015
75 0.0217696467567937 67545.5450843399
76 0.0227917757530783 65368.5804086605
77 0.0237942051960041 63089.4028333527
78 0.024764399295938 60709.9823137523
79 0.0256883791541964 58233.5423841585
80 0.0265507880421229 55664.7044687389
81 0.0273350210130001 53009.6256645266
82 0.0280234312831703 50276.1235632266
83 0.0285976253670299 47473.7804349095
84 0.0290388574319563 44614.0178982065
85 0.0293285304365412 41710.1321550109
86 0.0294488070130964 38777.2791113568
87 0.0293833264810681 35832.3984100472
88 0.0291180156631892 32894.0657619404
89 0.0286419703337973 29982.2641956214
90 0.0279483714467234 27118.0671622417
91 0.0270353864317441 24323.2300175694
92 0.0259069919443251 21619.691374395
93 0.0245736421601004 19028.9921799624
94 0.023052698200048 16571.6279639524
95 0.0213685321396191 14266.3581439476
96 0.0195522260323011 12129.5049299857
97 0.0176408049255802 10174.2823267556
98 0.0156759745469989 8410.20183419757
99 0.0137023791667772 6842.60437949769
100 0.0117654507367136 5472.36646281997
101 0.00990898150136965 4295.8213891486
102 0.00817261059990559 3304.92323901164
103 0.00658946002228544 2487.66217902108
104 0.00518417502353807 1828.71617679253
105 0.00397160860450685 1310.29867443873
106 0.00295633335042111 913.137813988041
107 0.00213306871327679 617.50447894593
108 0.00148798907482972 404.197607618251
109 0.00100074808701456 255.398700135279
110 0.00155323891433823 155.323891433823
