"Age" "qx" "lx"
0 0.0000795462337932973 100000
1 0.0000860292184338808 99992.0453766207
2 0.000093039935100513 99983.4424547773
3 0.00010062123584376 99974.1384612672
4 0.000108819434185377 99964.0763376829
5 0.000117684581641513 99953.1943942643
6 0.000127270765809543 99941.4259361002
7 0.000137636431609375 99928.6988595192
8 0.000148844727371529 99914.9352163583
9 0.000160963877569215 99900.0507436211
10 0.000174067584099634 99883.9543558642
11 0.00018823545813002 99866.5475974542
12 0.00020355348463576 99847.7240516412
13 0.000220114521870037 99827.3687031776
14 0.000238018838115539 99805.3572509907
15 0.000257374688176976 99781.5553671791
16 0.000278298932176365 99755.8178983614
17 0.000300917699308574 99727.9880051438
18 0.000325367099299126 99697.8962352129
19 0.000351793984376046 99665.359525283
20 0.000380356764617497 99630.1801268454
21 0.00041122627956184 99592.1444503836
22 0.000444586728959447 99551.0218224275
23 0.000480636665498259 99506.5631495315
24 0.000519590052238128 99458.4994829817
25 0.000561677387331165 99406.5404777579
26 0.000607146898373419 99350.3727390248
27 0.000656265808411593 99289.6580491874
28 0.00070932167519927 99224.0314683462
29 0.000766623804738653 99153.0993008263
30 0.000828504739431695 99076.4369203525
31 0.000895321820270363 98993.5864464093
32 0.00096745882138546 98904.0542643823
33 0.00104532765391058 98807.3083822437
34 0.00112937013445623 98702.7756168527
35 0.00122005981148075 98589.838603407
36 0.00131790384043118 98467.832622259
37 0.00142344489564255 98336.0422382158
38 0.00153726310355739 98193.6977486516
39 0.00165997797777205 98039.9714382958
40 0.00179225033164307 97873.9736405186
41 0.00193478413859111 97694.7486073543
42 0.00208832830370752 97501.2701934952
43 0.00225367830267676 97292.4373631245
44 0.00243167763524204 97067.0695328568
45 0.00262321903031686 96823.9017693326
46 0.00282924532823355 96561.5798663009
47 0.00305074995236591 96278.6553334776
48 0.00328877686731038 95973.580338241
49 0.00354441990381552 95644.7026515099
50 0.00381882131157463 95290.2606611284
51 0.00411316937973816 94908.3785299709
52 0.00442869494149636 94497.0615919971
53 0.00476666655331946 94054.1920978475
54 0.00512838411151395 93577.5254425155
55 0.0055151706388438 93064.6870313641
56 0.00592836194244906 92513.1699674797
57 0.00636929381171336 91920.3337732348
58 0.00683928639191796 91283.4043920635
59 0.00733962533763173 90599.4757528717
60 0.00787153932037897 89865.5132191085
61 0.00843617344029388 89078.3592870706
62 0.00903455807388402 88234.7419430412
63 0.00966757268313148 87331.2861356528
64 0.0103359041192204 86364.5288673397
65 0.0110399989824627 85330.9384554177
66 0.0117800096548772 84226.9385571714
67 0.012555733710899 83048.9375916837
68 0.0133665465436754 81793.3642205938
69 0.0142113272293954 80456.7095662262
70 0.0150883779012219 79035.5768432867
71 0.0159953372296385 77526.7390531645
72 0.0169290890197037 75927.2053302006
73 0.0178856674496464 74234.2964282303
74 0.0188601610997243 72445.7296832656
75 0.0198466186622903 70559.7135732932
76 0.0208379600852554 68575.0517070642
77 0.0218258978749841 66491.2556985386
78 0.022800874352877 64308.6659110402
79 0.0237520217883641 62028.5784757525
80 0.0246671534649885 59653.3762969161
81 0.0255327947953041 57186.6609504173
82 0.0263342644735059 54633.3814708869
83 0.0270558161964845 51999.9550235363
84 0.0276808515123134 49294.3734038878
85 0.0281922136530188 46526.2882526565
86 0.0285725705307907 43707.0668873546
87 0.0288048921653349 40849.8098342755
88 0.0288730234183736 37969.320617742
89 0.0287623468418526 35082.0182759047
90 0.0284605226021517 32205.7835917194
91 0.0279582828913577 29359.7313315042
92 0.027250247286138 26563.9030423685
93 0.0263357137901381 23838.8783137547
94 0.0252193688064275 21205.3069347409
95 0.0239118494625439 18683.3700540981
96 0.0224300853829802 16292.1851078437
97 0.0207973462980143 14049.1765695457
98 0.0190429289923054 11969.4419397443
99 0.0172014339489758 10065.1490405137
100 0.0153116097872564 8345.00564561615
101 0.0134147820407055 6813.84466689051
102 0.0115529298934192 5472.36646281997
103 0.00976652578493187 4317.07347347805
104 0.0080923015328771 3340.42089498486
105 0.00656114213306036 2531.19074169715
106 0.00519632529311476 1875.07652839112
107 0.0040123128234465 1355.44399907964
108 0.00301425456649829 954.212716734992
109 0.00219828777483888 652.787260085164
110 0.00432958482601276 432.958482601276
